iter	Passed	Remaining
788	166653	44567
789	166855	44353
790	167041	44136
791	167245	43922
792	167421	43702
793	167727	43516
794	168107	43348
795	168385	43153
796	168593	42941
797	169091	42802
798	169621	42670
799	170717	42679
800	170901	42458
801	171639	42374
802	171892	42170
803	172283	41999
804	172744	41844
805	173050	41652
806	173413	41473
807	173712	41278
808	173974	41074
809	174454	40921
810	175021	40787
811	175350	40598
812	175739	40422
813	176177	40256
814	176551	40076
815	177022	39916
816	177858	39838
817	178382	39688
818	179043	39568
819	179378	39375
820	179912	39225
821	180229	39027
822	180451	38809
823	180634	38582
824	180850	38362
825	181203	38171
826	181435	37954
827	181664	37737
828	181878	37516
829	182130	37303
830	182371	37088
831	182547	36860
832	182737	36635
833	182933	36411
834	183157	36192
835	183456	35989
836	183656	35765
837	183898	35550
838	184077	35323
839	184290	35102
840	184500	34881
841	184708	34660
842	184904	34436
843	185107	34214
844	185460	34019
845	185657	33795
846	185858	33573
847	186072	33352
848	186273	33129
849	186454	32903
850	186621	32675
851	186862	32459
852	187197	32260
853	187393	32036
854	187722	31835
855	187973	31621
856	188214	31405
857	188463	31190
858	188778	30986
859	189083	30781
860	189333	30566
861	189855	30394
862	190154	30186
863	190724	30021
864	190984	29806
865	191263	29595
866	191577	29388
867	192135	29218
868	192410	29005
869	192730	28798
870	192999	28584
871	193233	28364
872	193422	28138
873	193697	27924
874	193972	27710
875	194450	27524
876	194847	27327
877	195097	27109
878	195405	26898
879	195681	26683
880	195878	26458
881	196087	26233
882	196446	26029
883	196622	25801
884	196809	25574
885	197067	25356
886	197271	25131
887	197462	24905
888	197658	24679
889	197838	24451
890	198037	24226
891	198554	24040
892	198743	23813
893	198941	23588
894	199200	23369
895	199369	23141
896	199552	22914
897	199737	22687
898	199947	22463
899	200146	22238
900	200336	22012
901	200689	21804
902	200912	21581
903	201123	21358
904	201372	21138
905	201557	20912
906	201755	20687
907	201981	20465
908	202398	20262
909	202957	20072
910	203371	19868
911	203752	19660
912	204042	19443
913	204294	19222
914	204628	19009
915	205002	18799
916	205206	18573
917	205389	18346
918	205603	18121
919	205788	17894
920	205986	17668
921	206181	17442
922	206370	17216
923	206550	16989
924	206748	16763
925	206940	16537
926	207242	16320
927	207463	16096
928	207706	15874
929	207906	15648
930	208097	15422
931	208282	15196
932	208452	14969
933	208633	14742
934	208819	14516
935	209010	14291
936	209301	14072
937	209507	13848
938	209693	13622
939	209923	13399
940	210111	13173
941	210305	12948
942	210494	12723
943	210686	12498
944	210864	12272
945	211047	12047
946	211213	11820
947	211510	11601
948	211687	11376
949	211891	11152
950	212201	10933
951	212393	10708
952	212583	10484
953	212775	10259
954	212973	10035
955	213179	9811
956	213371	9587
957	213659	9367
958	213842	9142
959	214042	8918
960	214235	8694
961	214431	8470
962	214614	8245
963	214826	8022
964	214994	7797
965	215178	7573
966	215365	7349
967	215662	7129
968	215918	6907
969	216107	6683
970	216359	6461
971	216551	6238
972	216743	6014
973	216945	5791
974	217163	5568
975	217355	5344
976	217557	5121
977	217867	4900
978	218123	4678
979	218403	4457
980	218572	4233
981	218764	4009
982	218950	3786
983	219164	3563
984	219347	3340
985	219529	3117
986	219727	2894
987	220048	2672
988	220336	2450
989	220633	2228
990	220823	2005
991	221014	1782
992	221215	1559
993	221398	1336
994	221560	1113
995	221736	890
996	221963	667
997	222279	445
998	222470	222
999	222678	0
